"id_ventil_date","date_ventil","is_paye","type_chaine_paie","version"
"2","2015-05-31T00:00:00.000","true","SHC","0"
"3","2015-05-31T00:00:00.000","true","SCV","0"
"4","2015-06-28T23:59:00.000","true","SHC","1"
"5","2015-07-05T23:59:00.000","true","SCV","1"
"6","2015-08-02T23:59:00.000","true","SHC","1"
"7","2015-08-09T23:59:00.000","true","SCV","1"
"8","2015-08-30T23:59:00.000","true","SHC","1"
"9","2015-09-06T23:59:00.000","true","SCV","1"
"10","2015-10-04T23:59:00.000","true","SHC","1"
"11","2015-10-11T23:59:00.000","true","SCV","1"
"12","2015-11-01T23:59:00.000","true","SHC","1"
"13","2015-11-08T23:59:00.000","true","SCV","1"
"14","2015-11-29T23:59:00.000","true","SHC","1"
"15","2015-12-06T23:59:00.000","true","SCV","1"
"16","2016-01-03T23:59:00.000","true","SHC","1"
"17","2016-01-10T23:59:00.000","true","SCV","1"
"18","2016-01-31T23:59:00.000","true","SHC","1"
"19","2016-02-07T23:59:00.000","true","SCV","1"
"20","2016-02-28T23:59:00.000","true","SHC","1"
"21","2016-03-06T23:59:00.000","true","SCV","1"
"22","2016-04-03T23:59:00.000","true","SHC","1"
"23","2016-04-10T23:59:00.000","true","SCV","1"
"24","2016-04-24T23:59:00.000","true","SHC","1"
"25","2016-05-08T23:59:00.000","true","SCV","1"
"26","2016-05-29T23:59:00.000","true","SHC","1"
"27","2016-06-05T23:59:00.000","true","SCV","1"
"28","2016-06-26T23:59:00.000","false","SHC","0"
