"id_export_paie_task","id_agent","id_agent_creation","date_creation","type_chaine_paie","id_ventil_date","date_export","task_status","version"
"1","9003347","9004955","2015-03-16T09:11:16.465","SHC","4","2015-03-16T09:15:00.830","OK","0"
"2","9004353","9004955","2015-03-16T09:19:35.036","SHC","4","2015-03-16T09:20:00.556","OK","0"
"3","9005226","9004955","2015-03-16T09:19:35.047","SHC","4","2015-03-16T09:20:00.705","OK","0"
"4","9004353","9005138","2015-03-16T13:54:42.519","SHC","4","2015-03-16T13:55:00.495","OK","0"
"5","9005226","9005138","2015-03-16T13:54:42.534","SHC","4","2015-03-16T13:55:00.904","OK","0"
"6","9003347","9005138","2015-03-16T13:58:48.850","SHC","4","2015-03-16T14:00:00.268","OK","0"
"7","9002245","9004955","2015-03-20T08:56:21.246","SCV","5","2015-03-20T09:00:00.951","OK","0"
"8","9004241","9004955","2015-03-20T08:56:21.255","SCV","5","2015-03-20T09:00:01.514","OK","0"
"9","9003262","9004955","2015-03-20T08:56:21.258","SCV","5","2015-03-20T09:00:05.219","OK","0"
"10","9003386","9004955","2015-03-20T08:56:21.261","SCV","5","2015-03-20T09:00:05.580","OK","0"
"11","9003339","9004955","2015-03-20T08:56:21.263","SCV","5","2015-03-20T09:00:05.996","OK","0"
"12","9003881","9004955","2015-03-20T08:56:21.265","SCV","5","2015-03-20T09:00:06.410","OK","0"
"13","9003284","9004955","2015-03-20T08:56:21.268","SCV","5","2015-03-20T09:00:06.697","OK","0"
"14","9004353","9004955","2015-03-20T08:58:29.282","SHC","4","2015-03-20T09:00:06.962","OK","0"
"15","9004645","9004955","2015-03-20T08:58:29.294","SHC","4","2015-03-20T09:00:07.167","OK","0"
"16","9003869","9004955","2015-03-20T08:58:29.300","SHC","4","2015-03-20T09:00:07.459","OK","0"
"17","9005226","9004955","2015-03-20T08:58:29.304","SHC","4","2015-03-20T09:00:07.758","OK","0"
"18","9003347","9004955","2015-03-20T09:00:23.157","SHC","4","2015-03-20T09:05:00.136","OK","0"
"19","9004377","9004955","2015-03-20T09:00:23.166","SHC","4","2015-03-20T09:05:00.505","OK","0"
"20","9004936","9004955","2015-03-20T09:00:23.170","SHC","4","2015-03-20T09:05:00.710","OK","0"
"21","9003792","9004955","2015-03-20T09:00:23.177","SHC","4","2015-03-20T09:05:00.842","OK","0"
"22","9004378","9004955","2015-03-20T09:00:23.183","SHC","4","2015-03-20T09:05:00.973","OK","0"
"23","9004553","9004955","2015-03-20T09:00:23.187","SHC","4","2015-03-20T09:05:01.098","OK","0"
