"id_rc_histo","id_agent","date_lundi","m_sup","m_base_horaire","version"
"1","9004241","2015-02-02T00:00:00.000","120","2340","0"
"2","9004241","2015-02-16T00:00:00.000","210","2340","0"
"3","9004241","2015-02-23T00:00:00.000","360","2340","0"
"4","9002245","2015-02-16T00:00:00.000","1110","2340","0"
"5","9003284","2015-02-16T00:00:00.000","180","2340","0"
"6","9003284","2015-02-23T00:00:00.000","180","2340","0"
"7","9003386","2015-02-16T00:00:00.000","210","2340","0"
"8","9003339","2015-02-23T00:00:00.000","180","2340","0"
"9","9003881","2015-02-23T00:00:00.000","120","2340","0"
"10","9004353","2015-02-16T00:00:00.000","1140","2340","0"
"11","9003869","2015-02-23T00:00:00.000","180","2340","0"
"12","9004645","2015-02-23T00:00:00.000","180","2340","0"
