"id_ventil_task","id_agent","id_agent_creation","date_creation","type_chaine_paie","id_type_pointage","id_ventil_date_from","id_ventil_date_to","date_ventilation","task_status","version"
"1","9002245","9004955","2015-03-16T08:50:47.847","SCV","NULL","3","5","2015-03-16T08:52:01.801","OK","0"
"2","9002245","9004955","2015-03-16T08:55:20.003","SCV","NULL","3","5","2015-03-16T08:56:00.938","OK","0"
"3","9003339","9004955","2015-03-16T08:55:20.022","SCV","NULL","3","5","2015-03-16T08:56:01.376","OK","0"
"4","9003881","9004955","2015-03-16T08:55:20.029","SCV","NULL","3","5","2015-03-16T08:56:01.886","OK","0"
"5","9003347","9004955","2015-03-16T09:03:28.317","SHC","NULL","2","4","2015-03-16T09:04:00.415","OK","0"
"6","9004353","9004955","2015-03-16T09:05:06.690","SHC","NULL","2","4","2015-03-16T09:06:01.135","OK","0"
"7","9005226","9004955","2015-03-16T09:05:06.704","SHC","NULL","2","4","2015-03-16T09:06:01.418","OK","0"
"8","9003347","9005138","2015-03-16T13:51:52.948","SHC","NULL","2","4","2015-03-16T13:52:00.543","OK","0"
"9","9004353","9005138","2015-03-16T13:52:55.292","SHC","NULL","2","4","2015-03-16T13:54:01.289","OK","0"
"10","9005226","9005138","2015-03-16T13:52:55.299","SHC","NULL","2","4","2015-03-16T13:54:01.668","OK","0"
"11","9004241","9004955","2015-03-20T08:42:12.478","SCV","NULL","3","5","2015-03-20T08:44:01.710","OK","0"
"12","9003262","9004955","2015-03-20T08:42:12.495","SCV","NULL","3","5","2015-03-20T08:44:02.081","OK","0"
"13","9003284","9004955","2015-03-20T08:42:12.536","SCV","NULL","3","5","2015-03-20T08:44:03.684","OK","0"
"14","9002245","9004955","2015-03-20T08:42:12.557","SCV","NULL","3","5","2015-03-20T08:44:04.544","OK","0"
"15","9003386","9004955","2015-03-20T08:42:12.560","SCV","NULL","3","5","2015-03-20T08:44:05.020","OK","0"
"16","9003339","9004955","2015-03-20T08:42:12.565","SCV","NULL","3","5","2015-03-20T08:44:05.636","OK","0"
"17","9003881","9004955","2015-03-20T08:42:12.572","SCV","NULL","3","5","2015-03-20T08:44:06.007","OK","0"
"18","9004377","9004955","2015-03-20T08:44:31.037","SHC","NULL","2","4","2015-03-20T08:46:01.132","OK","0"
"19","9003792","9004955","2015-03-20T08:44:31.052","SHC","NULL","2","4","2015-03-20T08:46:01.835","OK","0"
"20","9004553","9004955","2015-03-20T08:44:31.073","SHC","NULL","2","4","2015-03-20T08:46:02.775","OK","0"
"21","9004378","9004955","2015-03-20T08:44:31.079","SHC","NULL","2","4","2015-03-20T08:46:03.481","OK","0"
"22","9004936","9004955","2015-03-20T08:44:31.102","SHC","NULL","2","4","2015-03-20T08:46:04.489","OK","0"
"23","9003869","9004955","2015-03-20T08:46:41.122","SHC","NULL","2","4","2015-03-20T08:48:00.530","OK","0"
"24","9004645","9004955","2015-03-20T08:46:41.136","SHC","NULL","2","4","2015-03-20T08:48:01.118","OK","0"
