"id_comment","text","version"
"1","test nono","0"
"2",";","0"
"3","docteur","0"
"4","inhumation","0"
"5",";","0"
"6",";","0"
"7",";","0"
"8",";","0"
"11","RECUPERATION","1"
"14","RECUPERATION","0"
"15","RECUPERATION","0"
"16","EPANDAGE","0"
"17","SYNDICAL","0"
"18","EPANDAGE","0"
"19","SYNDICAL","0"
"20","EPANDAGE","0"
"21","EPANDAGE","0"
"22","EPANDAGE","0"
"23","EPANDAGE","0"
"24","EPANDAGE","0"
"25","EPANDAGE","0"
"26","EPANDAGE","0"
"27","EPANDAGE","0"
"28","RECUPERATION","0"
"29","EPANDAGE","0"
"30","MALADIE","0"
"31","REUNION","0"
"32","MALADIE","0"
"33","MALADIE","0"
"34","MALADIE","0"
"35","MALADIE","0"
"36","MALADIE","0"
"37","MALADIE","0"
"38","MALADIE","0"
"39","MALADIE","0"
"40","MALADIE","0"
"41","MALADIE","0"
"42","MALADIE","0"
"43","MALADIE","0"
"44","MALADIE","0"
"45","MALADIE","0"
"46","MALADIE","0"
"47","CONGE","0"
"48","CONGE","0"
"49","RECUPERATION","0"
"50","MALADIE","0"
"51","MALADIE","0"
"52","REPOS COMPENSATEUR","0"
"53","RECUPERATION","0"
"54","RECUPERATION","0"
"56","RECUPERATION","0"
"57","EPANDAGE","0"
"58","EPANDAGE","0"
"59","EPANDAGE","0"
"61","EPANDAGE","0"
"62","MALADIE","0"
"63","MALADIE","0"
"64","EPANDAGE","0"
"65","EPANDAGE","0"
"68","EPANDAGE","0"
"69","EPANDAGE","0"
"70","EPANDAGE","0"
"71","EPANDAGE","0"
"72","MALADIE","0"
"73","MALADIE","0"
"74","MALADIE","0"
"60","MALADIE","1"
"75","MALADIE","0"
"76","MALADIE","0"
"77","RECUPERATION","0"
"78","RECUPERATION","0"
"79","RECUPERATION","0"
"80","RECUPERATION","0"
"81","RECUPERATION","0"
"82","RECUPERATION","0"
"83","RECUPERATION","0"
"84","CONGE","0"
"85","RECUPERATION","0"
"86","REPOS COMPENSATEUR","0"
"87","REPOS COMPENSATEUR","0"
"88","RECUPERATION","0"
"89","RECUPERATION","0"
"90","RECUPERATION","0"
"91","RECUPERATION","0"
"92","RECUPERATION","0"
"93","CONGE","0"
"94","CONGE","0"
"95","CONGE","0"
"96","hhe ruu","0"
"97","pooot","0"
"98","hhe ruu","0"
"99","pooot","0"
"100","hhe ruu","0"
"101","pooot","0"
"102","hhe ruu","0"
"103","pooot","0"
"104","hhe ruu","0"
"105","pooot","0"
"106","yyuvyt ","0"
"107","ppp","0"
"108","yyuvyt ","0"
"109","ppp","0"
"110","yyuvyt ","0"
"111","ppp","0"
"112","CONGE","0"
"113","MALADIE","0"
"114","MALADIE","0"
"115","MALADIE","0"
"116","MALADIE","0"
"117","MALADIE","0"
"118","MALADIE","0"
"119","MALADIE","0"
"120","MALADIE","0"
"121","MALADIE","0"
"122","MALADIE","0"
"123","bbbbbbbb","0"
"124","problem transport","0"
"125","bbbbbbbb","0"
"126","problem transport","0"
"127","ggggg","0"
"128","ttggg","0"
"129","presidentielle","0"
"130","election","0"
"131","dddeeee","0"
"132","ddd ","0"
"133","ccc","0"
"134","enfant malade","0"
"135","ccc","0"
"136","enfant malade","0"
"137","ccc","0"
"138","enfant malade","0"
"139","rempl IAA","0"
"140","VV","0"
"141","CA","0"
"142","IAA","0"
"143","rempl IAA","0"
"144","rempl IAA","0"
"145","rempl IAA","0"
"146","rempl IAA","0"
